,id,text,in_reply_to_status_id,created_at,in_reply_to_screen_name
0,1385503048533901313,@dtptraffic @DelhiPolice Can I go from Gurgaon to Delhi IGI airport tomorrow without an epass to pick someone? Pls help.,,2021-04-23 07:57:22,dtptraffic
1,1385269346717495296,"@DelhiPolice @CPDelhi Thank you for the prompt response, but actually I'M the patient, here. Also, I could only pro… https://t.co/zem7Ezqvop",1385268501821100033,2021-04-22 16:28:43,DelhiPolice
2,1385467150597443585,@DelhiPolice Can I travel via Delhi to Uttrakhand with covid negative certificate? @ArvindKejriwal,,2021-04-23 05:34:44,DelhiPolice
3,1385457171156987904,@dtptraffic @DelhiPolice my friend’s parents tested Covid positive. He wants to drop his wife &amp; 2 month old daughte… https://t.co/MfKUXyhcUQ,,2021-04-23 04:55:04,dtptraffic
4,1385388259560275969,@DelhiPolice So much police escorting just 1 oxygen tanker?,1385345298088742925,2021-04-23 00:21:15,DelhiPolice
5,1385430595006726145,@DelhiPolice All this happened after hospitals went to high court and media exposed the reality.,1385345298088742925,2021-04-23 03:09:28,DelhiPolice
6,1385456629923991554,@DelhiPolice Please note that I have applied for movement passes from delhi police website with request ids 8162210… https://t.co/mwPab1K1MC,,2021-04-23 04:52:55,DelhiPolice
7,1385455525588987905,"@DelhiPolice @DelhiPolice We are a logistic company, we move essential items like sanitizer, masks, grocery and we… https://t.co/GQK8DzXs7t",1385274146116960258,2021-04-23 04:48:32,DelhiPolice
8,1385448710654496770,"@dtptraffic @CPDelhi @DelhiPolice 
Sir, I'm living in faridabad and my office is situated in noida, can i go to noi… https://t.co/005JXf1xyV",,2021-04-23 04:21:27,dtptraffic
9,1385448444773294085,@DCPNWestDelhi @DelhiPolice Site https://t.co/X5ZGEJCSWh is not working. I need to help someone my close very urgen… https://t.co/TNDL0ohoAN,,2021-04-23 04:20:24,DCPNWestDelhi
10,1385444182718750722,@DelhiPolice @DCPEastDelhi sir I am travelling to Delhi Patparganj from Punjab by own vehicle with 2 small kids to… https://t.co/mezXqaFGT2,,2021-04-23 04:03:28,DelhiPolice
